5A Geauga,5A Shelby,3A Hughes,5B Baker,5A Butler
5A Greene,5A Stark,3A Jackson,4C Benton,5A Cambria
5A Guernsey,5A Summit,3A Jefferson,4C Clackamas,6A Cameron
4A Hamilton,5A Trumbull,3A Johnston,4C Clatsop,5A Carbon
5A Hancock,5A Tuscarawas,3A Kay,4C Columbia,5A Centre
5A Hardin,5A Union,3A Kingfisher,4C Coos,4A Chester
5A Harrison,5A Van Wert,3A Kiowa,5B Crook,5A Clarion
5A Henry,5A Vinton,3A Latimer,4C Curry,6A Clearfield
5A Highland,5A Warren,3A Le Flore,5B Deschutes,5A Clinton
5A Hocking,4A Washington,3A Lincoln,4C Douglas,5A Columbia
5A Holmes,5A Wayne,3A Logan,5B Gilliam,5A Crawford
5A Huron,5A Williams,3A Love,5B Grant,5A Cumberland
5A Jackson,5A Wood,3A Major,5B Harney,5A Dauphin
5A Jefferson,5A Wyandot,3A Marshall,5B Hood River,4A Delaware
5A Knox,OKLAHOMA,3A Mayes,4C Jackson,6A Elk
5A Lake,3A Adair,3A McClain,5B Jefferson,5A Erie
4A Lawrence,3A Alfalfa,3A McCurtain,4C Josephine,5A Fayette
5A Licking,3A Atoka,3A McIntosh,5B Klamath,5A Forest
5A Logan,4B Beaver,3A Murray,5B Lake,5A Franklin
5A Lorain,3A Beckham,3A Muskogee,4C Lane,5A Fulton
5A Lucas,3A Blaine,3A Noble,4C Lincoln,5A Greene
5A Madison,,3A Nowata,,
5A Huntingdon,3A Bamberg*,5A Bennett,6A Minnehaha,4A Gibson
5A Indiana,3A Barnwell*,5A Bon Homme,6A Moody,4A Giles
5A Jefferson,3A Beaufort*,6A Brookings,6A Pennington,4A Grainger
5A Juniata,3A Berkeley*,6A Brown,6A Perkins,4A Greene
5A Lackawanna,3A Calhoun,6A Brule,6A Potter,4A Grundy
5A Lancaster,3A Charleston*,6A Buffalo,6A Roberts,4A Hamblen
5A Lawrence,3A Cherokee,6A Butte,6A Sanborn,4A Hamilton
5A Lebanon,3A Chester,6A Campbell,6A Shannon,4A Hancock
5A Lehigh,3A Chesterfield,5A Charles Mix,6A Spink,3A Hardeman
5A Luzerne,3A Clarendon,6A Clark,6A Stanley,3A Hardin
5A Lycoming,3A Colleton*,5A Clay,6A Sully,4A Hawkins
6A McKean,3A Darlington,6A Codington,5A Todd,3A Haywood
5A Mercer,3A Dillon,6A Corson,5A Tripp,3A Henderson
5A Mifflin,3A Dorchester*,6A Custer,6A Turner,4A Henry
5A Monroe,3A Edgefield,6A Davison,5A Union,4A Hickman
4A Montgomery,3A Fairfield,6A Day,6A Walworth,4A Houston
5A Montour,3A Florence,6A Deuel,5A Yankton,4A Humphreys
5A Northampton,3A Georgetown*,6A Dewey,6A Ziebach,4A Jackson
5A Northumberland,3A Greenville,5A Douglas,TENNESSEE,4A Jefferson
5A Perry,3A Greenwood,6A Edmunds,4A Anderson,4A Johnson
4A Philadelphia,3A Hampton*,6A Fall River,4A Bedford,4A Knox
5A Pike,3A Horry*,6A Faulk,4A Benton,3A Lake
6A Potter,3A Jasper*,6A Grant,4A Bledsoe,3A Lauderdale
5A Schuylkill,3A Kershaw,5A Gregory,4A Blount,4A Lawrence
5A Snyder,3A Lancaster,6A Haakon,4A Bradley,4A Lewis
5A Somerset,3A Laurens,6A Hamlin,4A Campbell,4A Lincoln
5A Sullivan,3A Lee,6A Hand,4A Cannon,4A Loudon
6A Susquehanna,3A Lexington,6A Hanson,4A Carroll,4A Macon
6A Tioga,3A Marion,6A Harding,4A Carter,3A Madison
5A Union,3A Marlboro,6A Hughes,4A Cheatham,4A Marion
5A Venango,3A McCormick,5A Hutchinson,3A Chester,4A Marshall
5A Warren,3A Newberry,6A Hyde,4A Claiborne,4A Maury
5A Washington,3A Oconee,5A Jackson,4A Clay,4A McMinn
6A Wayne,3A Orangeburg,6A Jerauld,4A Cocke,3A McNairy
5A Westmoreland,3A Pickens,6A Jones,4A Coffee,4A Meigs
5A Wyoming,3A Richland,6A Kingsbury,3A Crockett,4A Monroe
4A York,3A Saluda,6A Lake,4A Cumberland,4A Montgomery
RHODE ISLAND,3A Spartanburg,6A Lawrence,4A Davidson,4A Moore
5A (all),3A Sumter,6A Lincoln,4A Decatur,4A Morgan
SOUTH,3A Union,6A Lyman,4A DeKalb,4A Obion
CAROLINA,3A Williamsburg,6A Marshall,4A Dickson,4A Overton
3A Abbeville,3A York,6A McCook,3A Dyer,4A Perry
3A Aiken,SOUTH DAKOTA,6A McPherson,3A Fayette,4A Pickett
3A Allendale*,6A Aurora,6A Meade,4A Fentress,4A Polk
3A Anderson,6A Beadle,5A Mellette,4A Franklin,4A Putnam
,,6A Miner,,4A Rhea
,,,,
,,,,
(continued),,,,
,,,,
"TABLE C301.1?continued CLIMATE ZONES, MOISTURE REGIMES, AND WARM-HUMID DESIGNATIONS BY STATE, COUNTY AND TERRITORY",,,,
,,,,
4A Roane,3B Brewster,3B Ector,3B Howard,3B McCulloch
4A Robertson,4B Briscoe,2B Edwards,3B Hudspeth,2A McLennan*
4A Rutherford,2A Brooks*,3A Ellis*,3A Hunt*,2A McMullen*
4A Scott,3A Brown*,3B El Paso,4B Hutchinson,2B Medina
4A Sequatchie,2A Burleson*,3A Erath*,3B Irion,3B Menard
4A Sevier,3A Burnet*,2A Falls*,3A Jack,3B Midland
3A Shelby,2A Caldwell*,3A Fannin,2A Jackson*,2A Milam*
4A Smith,2A Calhoun*,2A Fayette*,2A Jasper*,3A Mills*
4A Stewart,3B Callahan,3B Fisher,3B Jeff Davis,3B Mitchell
4A Sullivan,2A Cameron*,4B Floyd,2A Jefferson*,3A Montague
4A Sumner,3A Camp*,3B Foard,2A Jim Hogg*,2A Montgomery*
3A Tipton,4B Carson,2A Fort Bend*,2A Jim Wells*,4B Moore
4A Trousdale,3A Cass*,3A Franklin*,3A Johnson*,3A Morris*
4A Unicoi,4B Castro,2A Freestone*,3B Jones,3B Motley
4A Union,2A Chambers*,2B Frio,2A Karnes*,3A Nacogdoches*
4A Van Buren,2A Cherokee*,3B Gaines,3A Kaufman*,3A Navarro*
4A Warren,3B Childress,2A Galveston*,3A Kendall*,2A Newton*
4A Washington,3A Clay,3B Garza,2A Kenedy*,3B Nolan
4A Wayne,4B Cochran,3A Gillespie*,3B Kent,2A Nueces*
4A Weakley,3B Coke,3B Glasscock,3B Kerr,4B Ochiltree
4A White,3B Coleman,2A Goliad*,3B Kimble,4B Oldham
4A Williamson,3A Collin*,2A Gonzales*,3B King,2A Orange*
4A Wilson,3B Collingsworth,4B Gray,2B Kinney,3A Palo Pinto*
TEXAS,2A Colorado*,3A Grayson,2A Kleberg*,3A Panola*
2A Anderson*,2A Comal*,3A Gregg*,3B Knox,3A Parker*
3B Andrews,3A Comanche*,2A Grimes*,3A Lamar*,4B Parmer
2A Angelina*,3B Concho,2A Guadalupe*,4B Lamb,3B Pecos
2A Aransas*,3A Cooke,4B Hale,3A Lampasas*,2A Polk*
3A Archer,2A Coryell*,3B Hall,2B La Salle,4B Potter
4B Armstrong,3B Cottle,3A Hamilton*,2A Lavaca*,3B Presidio
2A Atascosa*,3B Crane,4B Hansford,2A Lee*,3A Rains*
2A Austin*,3B Crockett,3B Hardeman,2A Leon*,4B Randall
4B Bailey,3B Crosby,2A Hardin*,2A Liberty*,3B Reagan
2B Bandera,3B Culberson,2A Harris*,2A Limestone*,2B Real
2A Bastrop*,4B Dallam,3A Harrison*,4B Lipscomb,3A Red River*
3B Baylor,3A Dallas*,4B Hartley,2A Live Oak*,3B Reeves
2A Bee*,3B Dawson,3B Haskell,3A Llano*,2A Refugio*
2A Bell*,4B Deaf Smith,2A Hays*,3B Loving,4B Roberts
2A Bexar*,3A Delta,3B Hemphill,3B Lubbock,2A Robertson*
3A Blanco*,3A Denton*,3A Henderson*,3B Lynn,3A Rockwall*
3B Borden,2A DeWitt*,2A Hidalgo*,2A Madison*,3B Runnels
2A Bosque*,3B Dickens,2A Hill*,3A Marion*,3A Rusk*
3A Bowie*,2B Dimmit,4B Hockley,3B Martin,3A Sabine*
2A Brazoria*,4B Donley,3A Hood*,3B Mason,3A San Augustine*
2A Brazos*,2A Duval*,3A Hopkins*,2A Matagorda*,2A San Jacinto*
,3A Eastland,2A Houston*,2B Maverick,2A San Patricio*
3A San Saba*,3A Young,4C Clark,4A Gilmer,WISCONSIN
3B Schleicher,2B Zapata,5B Columbia,5A Grant,6A Adams
3B Scurry,2B Zavala,4C Cowlitz,5A Greenbrier,7 Ashland
3B Shackelford,UTAH,5B Douglas,5A Hampshire,6A Barron
3A Shelby*,5B Beaver,6B Ferry,5A Hancock,7 Bayfield
4B Sherman,6B Box Elder,5B Franklin,5A Hardy,6A Brown
3A Smith*,6B Cache,5B Garfield,5A Harrison,6A Buffalo
3A Somervell*,6B Carbon,5B Grant,4A Jackson,7 Burnett
2A Starr*,6B Daggett,4C Grays Harbor,4A Jefferson,6A Calumet
3A Stephens,5B Davis,4C Island,4A Kanawha,6A Chippewa
3B Sterling,6B Duchesne,4C Jefferson,5A Lewis,6A Clark
3B Stonewall,5B Emery,4C King,4A Lincoln,6A Columbia
3B Sutton,5B Garfield,4C Kitsap,4A Logan,6A Crawford
4B Swisher,5B Grand,5B Kittitas,5A Marion,6A Dane
3A Tarrant*,5B Iron,5B Klickitat,5A Marshall,6A Dodge
3B Taylor,5B Juab,4C Lewis,4A Mason,6A Door
3B Terrell,5B Kane,5B Lincoln,4A McDowell,7 Douglas
3B Terry,5B Millard,4C Mason,4A Mercer,6A Dunn
3B Throckmorton,6B Morgan,6B Okanogan,5A Mineral,6A Eau Claire
3A Titus*,5B Piute,4C Pacific,4A Mingo,7 Florence
3B Tom Green,6B Rich,6B Pend Oreille,5A Monongalia,6A Fond du Lac
2A Travis*,5B Salt Lake,4C Pierce,4A Monroe,7 Forest
2A Trinity*,5B San Juan,4C San Juan,4A Morgan,6A Grant
2A Tyler*,5B Sanpete,4C Skagit,5A Nicholas,6A Green
3A Upshur*,5B Sevier,5B Skamania,5A Ohio,6A Green Lake
3B Upton,6B Summit,4C Snohomish,5A Pendleton,6A Iowa
2B Uvalde,5B Tooele,5B Spokane,4A Pleasants,7 Iron
2B Val Verde,6B Uintah,6B Stevens,5A Pocahontas,6A Jackson
3A Van Zandt*,5B Utah,4C Thurston,5A Preston,6A Jefferson
2A Victoria*,6B Wasatch,4C Wahkiakum,4A Putnam,6A Juneau
2A Walker*,3B Washington,5B Walla Walla,5A Raleigh,6A Kenosha
2A Waller*,5B Wayne,4C Whatcom,5A Randolph,6A Kewaunee
3B Ward,5B Weber,5B Whitman,4A Ritchie,6A La Crosse
2A Washington*,VERMONT,5B Yakima,4A Roane,6A Lafayette
2B Webb,6A (all),WEST VIRGINIA,5A Summers,7 Langlade
2A Wharton*,VIRGINIA,5A Barbour,5A Taylor,7 Lincoln
3B Wheeler,4A (all),4A Berkeley,5A Tucker,6A Manitowoc
3A Wichita,WASHINGTON,4A Boone,4A Tyler,6A Marathon
3B Wilbarger,5B Adams,4A Braxton,5A Upshur,6A Marinette
2A Willacy*,5B Asotin,5A Brooke,4A Wayne,6A Marquette
2A Williamson*,5B Benton,4A Cabell,5A Webster,6A Menominee
2A Wilson*,5B Chelan,4A Calhoun,5A Wetzel,6A Milwaukee
3B Winkler,4C Clallam,4A Clay,4A Wirt,6A Monroe
3A Wise,,5A Doddridge,4A Wood,6A Oconto
3A Wood*,,5A Fayette,4A Wyoming,7 Oneida
4B Yoakum,,,,6A Outagamie
6A Ozaukee,7 Taylor,6B Big Horn,6B Sheridan,NORTHERN
6A Pepin,6A Trempealeau,6B Campbell,7 Sublette,MARIANA
6A Pierce,6A Vernon,6B Carbon,6B Sweetwater,ISLANDS
6A Polk,7 Vilas,6B Converse,7 Teton,1A (all)*
6A Portage,6A Walworth,6B Crook,6B Uinta,PUERTO RICO
7 Price,7 Washburn,6B Fremont,6B Washakie,1A (all)*
6A Racine,6A Washington,5B Goshen,6B Weston,VIRGIN ISLANDS
6A Richland,6A Waukesha,6B Hot Springs,US TERRITORIES,1A (all)*
6A Rock,6A Waupaca,6B Johnson,AMERICAN,
6A Rusk,6A Waushara,6B Laramie,SAMOA,
6A Sauk,6A Winnebago,7 Lincoln,1A (all)*,
7 Sawyer,6A Wood,6B Natrona,GUAM,
6A Shawano,WYOMING,6B Niobrara,1A (all)*,
6A Sheboygan,6B Albany,6B Park,,
6A St. Croix,,5B Platte,,
